GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0051017,33,-0.11776056969823982,-0.642376932340247,0.030591855351352736,1.8149234376074072e-5,actin filament bundle assembly,BP,0.174863639204941,4.190337936828867e-4,4.190337936828867e-4,3.3777509512146517
GO:0006491,18,0.611804294247657,0.42978581520283204,1.7211679330344434e-5,1.8666545860112608e-5,N-glycan processing,BP,0.0011862328714255367,4.267933543744193e-4,4.267933543744193e-4,3.3697823516210184
GO:0002218,26,-0.5692127084904846,-0.6787714186593786,0.8706701353001455,1.9984073841021195e-5,activation of innate immune response,BP,0.9474411493535542,4.525239797654319e-4,4.525239797654319e-4,3.3443584020855908
GO:0070316,23,-0.7191332288954507,-0.6974729012138846,0.313611852557887,2.1081238027574942e-5,regulation of G0 to G1 transition,BP,0.6067728595774369,4.728220529041808e-4,4.728220529041808e-4,3.3253022757155466
GO:0006468,108,-0.7248376476018937,-0.3997540511347831,0.11124196687172412,2.2184548712401714e-5,protein phosphorylation,BP,0.3523608004059012,4.928737001670381e-4,4.928737001670381e-4,3.307264355261915
GO:0008654,56,-0.04855316602390925,0.12762088282281614,0.0015414111956458887,2.410954036457057e-5,phospholipid biosynthetic process,BP,0.024039889839377934,5.306352108276981e-4,5.306352108276981e-4,3.275203935354806
GO:0015012,19,0.6734831216657483,0.27922675056829954,7.122825895479601e-6,1.8535190330713633e-4,heparan sulfate proteoglycan biosynthetic process,BP,5.411049994791762e-4,0.0027453064923792835,5.411049994791762e-4,3.2667184534335463
GO:0006686,11,1.088449875456787,0.4576459610805221,7.0342605982509625e-6,4.991658235587722e-4,sphingomyelin biosynthetic process,BP,5.411049994791762e-4,0.0057624289925534734,5.411049994791762e-4,3.2667184534335463
GO:0099560,17,0.5103232680446665,0.3594690454914783,1.852875337713424e-4,3.1981418867204963e-5,synaptic membrane adhesion,BP,0.005340980651296634,6.973726058543305e-4,6.973726058543305e-4,3.1565351165527704
GO:0006488,18,0.03749813547421808,0.45072708392147454,0.03606891613074136,3.3005088045042834e-5,dolichol-linked oligosaccharide biosynthetic process,BP,0.19261291947368686,7.130915811566594e-4,7.130915811566594e-4,3.1468546908537838
GO:0006337,16,-0.8837203412320289,-0.7786319429583655,0.2069623778046113,3.342013006296799e-5,nucleosome disassembly,BP,0.4873390927294514,7.154946027117238e-4,7.154946027117238e-4,3.145393637964801
GO:0002063,16,0.9942237423704294,0.5631526484852715,2.2521907904940786e-5,3.484581159724666e-5,chondrocyte development,BP,0.0013259773279033888,7.392962730767197e-4,7.392962730767197e-4,3.131181483152266
GO:0032211,20,-1.2109583664640526,-0.7058695537107237,0.0057009940045308054,3.699245247384184e-5,negative regulation of telomere maintenance via telomerase,BP,0.06150005633065782,7.709488989017481e-4,7.709488989017481e-4,3.112974407500904
GO:0007052,50,-0.7227455318510894,-0.5175113559836242,0.31331113046200754,3.666752387333749e-5,mitotic spindle organization,BP,0.6067728595774369,7.709488989017481e-4,7.709488989017481e-4,3.112974407500904
GO:0032922,57,-0.6155163798013149,-0.48882945190042426,0.6131944512383992,3.848643874583584e-5,circadian regulation of gene expression,BP,0.8308602771887754,7.950488004073984e-4,7.950488004073984e-4,3.0996062133596376
GO:1905146,16,-0.19062260511512558,0.45286943543472247,0.23351287899185424,4.571795917021313e-5,lysosomal protein catabolic process,BP,0.5207602557062658,9.362242943117558e-4,9.362242943117558e-4,3.028620093449292
GO:0034205,11,0.463048897981002,0.5502796400824245,0.0050289914706745705,4.860157670756676e-5,amyloid-beta formation,BP,0.057315038954785555,9.866958029855148e-4,9.866958029855148e-4,3.005816719111059
GO:0051726,216,-0.6584929379651636,-0.3328648349773789,0.08059607373355906,5.57721084172868e-5,regulation of cell cycle,BP,0.298684383947911,0.0011225924386556445,0.0011225924386556445,2.9497778873445566
