GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0035060,14,-0.7527150959271922,-0.8154488661748088,0.3596403154828373,3.9937308825867705e-5,brahma complex,CC,0.582021457305065,2.697000978734523e-4,2.697000978734523e-4,3.5691188959427613
GO:0031966,191,-0.6394405172575951,-0.030767133261607748,0.3575255057324148,4.3607913960072904e-5,mitochondrial membrane,CC,0.580315880224424,2.908966943434132e-4,2.908966943434132e-4,3.5362612139078795
GO:1990531,10,1.1163620461341364,0.5245125618978963,1.7660981125573296e-5,1.0760334908497561e-4,phospholipid-translocating ATPase complex,CC,2.9733355428579065e-4,6.613374376346254e-4,2.9733355428579065e-4,3.5267560776135034
GO:0070161,310,-0.25171247987118683,-0.22865377767972214,2.4145922768016685e-5,0.11592959229897314,anchoring junction,CC,3.640175872631702e-4,0.1921620817804191,3.640175872631702e-4,3.4388776332003124
GO:0005911,181,-0.16276297085683875,-0.1765651349206172,2.4622761844126683e-5,0.9008971042352666,cell-cell junction,CC,3.640175872631702e-4,0.9245604428080504,3.640175872631702e-4,3.4388776332003124
GO:0045171,86,-0.7639196791895938,-0.4202015046835034,0.10166272930111517,5.739837166877751e-5,intercellular bridge,CC,0.2739384873286207,3.7377272979549164e-4,3.7377272979549164e-4,3.4273923876317918
GO:0016514,26,-0.7278870432088383,-0.6378854462414233,0.2793995841824555,5.6963685358667195e-5,SWI/SNF complex,CC,0.49645464999318967,3.7377272979549164e-4,3.7377272979549164e-4,3.4273923876317918
GO:0097060,66,-0.22572672806324193,0.06681161882655713,0.015736625096167262,6.002342506124746e-5,synaptic membrane,CC,0.07420632696209907,3.862683942176749e-4,3.862683942176749e-4,3.4131108258401848
GO:0045271,47,-0.7014845390229991,0.12980762946728241,0.5960500606838552,6.253681348470599e-5,respiratory chain complex I,CC,0.7613486903045342,3.9776322065272296e-4,3.9776322065272296e-4,3.400375376581181
GO:0030315,41,0.2472743745788844,-0.16056527159537956,2.8374651930174524e-5,0.7766485088258108,T-tubule,CC,4.0844564752119645e-4,0.8395785263393647,4.0844564752119645e-4,3.3888657275088674
