GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0008375,18,0.6897900392411193,0.33776759842699194,1.4910678606011002e-6,1.0158281504966924e-4,acetylglucosaminyltransferase activity,MF,8.337554453861152e-5,5.727904949439333e-4,8.337554453861152e-5,4.078961316621519
GO:0003756,15,0.9774004063002448,0.39976621710487464,1.635847092893198e-6,1.1359319677107947e-4,protein disulfide isomerase activity,MF,8.443487687164121e-5,6.146857663983413e-4,8.443487687164121e-5,4.073478125599753
GO:0042626,21,0.1821270534836564,0.40315618653446056,0.00789751462152323,1.289330867268446e-5,ATPase-coupled transmembrane transporter activity,MF,0.05954193607912458,9.612677910412526e-5,9.612677910412526e-5,4.017155609240404
GO:0005125,57,-0.3208073368031622,0.18051746682595457,0.14271186664639413,1.4969553322101594e-5,cytokine activity,MF,0.36549489511347505,1.103798931772546e-4,1.103798931772546e-4,3.9571100305692815
GO:0070182,21,-1.3507784706760106,-0.6965453272750275,0.0031734695984569606,1.5418241277902928e-5,DNA polymerase binding,MF,0.028923918745663357,1.1245260758122679e-4,1.1245260758122679e-4,3.9490304695746548
GO:0016409,21,-0.22310286730112558,0.3623634964427634,0.17836076646823495,1.683335302615645e-5,palmitoyltransferase activity,MF,0.41846179825239743,1.2145354710269869e-4,1.2145354710269869e-4,3.9155897969178604
GO:0140693,38,-0.5384064366317541,-0.5707620994286289,0.9983173234075176,1.7755075027872528e-5,molecular condensate scaffold activity,MF,0.9987310445913212,1.2674101429470709e-4,1.2674101429470709e-4,3.897082821584839
GO:0004435,11,-0.9296937437396632,-0.9391527166848309,0.2781027323533687,1.9449992165747207e-5,"phosphatidylinositol-4,5-bisphosphate phospholipase C activity",MF,0.5440435376358904,1.3737836571806712e-4,1.3737836571806712e-4,3.862081654387355
GO:0001968,20,0.6442786231162595,0.3482726103477284,3.5241169058141046e-6,5.4951192206177585e-5,fibronectin binding,MF,1.576454962534176e-4,3.3520227245768325e-4,1.576454962534176e-4,3.8023184320218677
GO:0003727,39,-0.6102602104890356,-0.5886014964330362,0.6967245900144745,2.2658730784939648e-5,single-stranded RNA binding,MF,0.845392766545592,1.5837508704890106e-4,1.5837508704890106e-4,3.8003131334038645
GO:0005102,232,-0.17915635153919857,-0.043275545471542325,3.919301121726323e-6,9.50742154100275e-4,signaling receptor binding,MF,1.6436569079239768e-4,0.0037526352082428503,1.6436569079239768e-4,3.784188830680118
GO:0031994,11,0.7152929316283665,0.5376641149678838,0.0016591288040421748,2.405594191543481e-5,insulin-like growth factor I binding,MF,0.01767103853194126,1.647095614822118e-4,1.647095614822118e-4,3.783281189060764
GO:0005254,31,0.0546927720617854,0.2823284999258115,0.0035585994080139763,2.3939032596820102e-5,chloride channel activity,MF,0.031268518918247,1.647095614822118e-4,1.647095614822118e-4,3.783281189060764
